title,chapternumber,eyes,comment,heart,kind,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16
Võ Luyện Đỉnh Phong,2011,438859739,75713,322387,Action,Fantasy,Manhua,Shounen,Supernatural,,,,,,,,,,,,
Toàn Chức Pháp Sư,838,211935035,27636,202565,Action,Adventure,Fantasy,Manhua,Mystery,Shounen,Supernatural,,,,,,,,,,
Trọng Sinh Đô Thị Tu Tiên,725,202264312,40466,226431,Manhua,Martial Arts,,,,,,,,,,,,,,,
Bách Luyện Thành Thần,882,181813259,35061,201283,Action,Drama,Mystery,,,,,,,,,,,,,,
Cô Vợ Hợp Đồng Bỏ Trốn Của Tổng Giám Đốc,4162,151991999,73078,248892,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,,
Yêu Thần Ký,383,144153491,21605,178303,Action,Fantasy,Manhua,Shounen,,,,,,,,,,,,,
Thông Linh Phi,698,138203968,65326,72557,Comedy,Historical,Manhua,Mystery,Ngôn Tình,Romance,Shoujo,,,,,,,,,,
Trên Người Ta Có Một Con Rồng,483,127683805,22144,202989,Manhua,Martial Arts,,,,,,,,,,,,,,,
Hệt Như Hàn Quang Gặp Nắng Gắt,263,115703141,32587,399026,Chuyển Sinh,Manhua,Ngôn Tình,Romance,,,,,,,,,,,,,
Tối Cường Phản Sáo Lộ Hệ Thống,567,115085161,39040,178655,Action,Adventure,Manhua,Mystery,Shounen,Xuyên Không,,,,,,,,,,,
Thanh Gươm Diệt Quỷ,205,114240408,112472,95656,Drama,Fantasy,Historical,Manga,Shounen,,,,,,,,,,,,
Nguyên Tôn,421,113918436,24038,195042,Action,Adventure,Fantasy,Manhua,Mystery,,,,,,,,,,,,
Thuần Tình Nha Đầu Hoả Lạt Lạt,479,112526528,61500,48627,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
"Ông Xã Kết Hôn Thử, Mạnh Thêm Chút Nữa Đi",471,105724954,22921,212558,Drama,Manhua,Ngôn Tình,Romance,,,,,,,,,,,,,
Tuyệt Thế Võ Thần,453,104855729,15976,146630,Action,Chuyển Sinh,Manhua,Mystery,Xuyên Không,,,,,,,,,,,,
Đấu Phá Thương Khung,363,102594996,17739,134235,Action,Adventure,Comedy,Manhua,Mystery,,,,,,,,,,,,
Đưa mami về nhà,374,99066186,61165,180384,Manhua,Ngôn Tình,,,,,,,,,,,,,,,
Thần Võ Thiên Tôn,441,88008437,6897,162270,Action,Adventure,Manhua,Mystery,Xuyên Không,,,,,,,,,,,,
Thám Tử Conan,1087,87346771,14091,74033,Comedy,Drama,Mystery,Romance,School Life,Trinh Thám,,,,,,,,,,,
Nghịch Thiên Tà Thần,471,86132828,12148,156657,Action,Adventure,Manhua,Mystery,Shounen,Supernatural,,,,,,,,,,,
Anh Hùng OnePunch,206,85186384,41837,174225,Action,Comedy,Manga,,,,,,,,,,,,,,
Thiếu Soái ! Vợ Ngài Lại Bỏ Trốn,417,85005094,39109,87217,Comedy,Manhua,Romance,Shoujo,Smut,,,,,,,,,,,,
Đại Vương Tha Mạng,433,84804515,20928,217486,Comedy,Manhua,Supernatural,,,,,,,,,,,,,,
Danh Môn Chí Ái,2962,82878595,14167,168194,Comedy,Manhua,Ngôn Tình,Romance,,,,,,,,,,,,,
Ngày Nào Thiếu Soái Cũng Ghen,467,80035209,29668,187665,Manhua,Ngôn Tình,Xuyên Không,,,,,,,,,,,,,,
Ẩn hôn 100%: Chọc tức vợ yêu mua một tặng một,348,78949952,22997,153718,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
Võ Thần Chúa Tể,548,76917046,9571,82658,Action,Adventure,Harem,Manhua,Mystery,,,,,,,,,,,,
